,id,stationName,x,y,geometry
1009,SN19527,Skriverberget ,10.5315,59.96,POINT (10.5315 59.96)
1010,SN217320,Brännberg D,21.26,65.7938,POINT (21.26 65.7938)
1011,SN53530,Midtstova,7.2755,60.6563,POINT (7.2755 60.6563)
1012,SN218190,Kypäsjärvi D,23.2295,66.1937,POINT (23.2295 66.1937)
1013,SN246900,Tullinge,17.9127777777778,59.1788888888889,POINT (17.9127777777778 59.1788888888889)
1014,SN68262,Klæbu ,10.4657,63.3064,POINT (10.4657 63.3064)
1015,SN79791,E6 Saltfjellet,15.3235,66.55483,POINT (15.3235 66.55483)
1016,SN1536000,,29.7269444444444,45.1622222222222,POINT (29.7269444444444 45.1622222222222)
1017,SN1623000,,14.1872222222222,42.4372222222222,POINT (14.1872222222222 42.4372222222222)
1018,SN232590,Ytterhogdal,14.9508,62.1825,POINT (14.9508 62.1825)
1019,SN59586,Fv61 Hareidsdalen,5.91433,62.34683,POINT (5.91433 62.34683)
1020,SN293500,,25.6708333333333,62.3975,POINT (25.6708333333333 62.3975)
1021,SN1547000,,24.9786111111111,44.1072222222222,POINT (24.9786111111111 44.1072222222222)
1022,SN226310,Balsjö D,19.0703,63.9206,POINT (19.0703 63.9206)
1024,SN65920,Mausund,8.6615,63.8692,POINT (8.6615 63.8692)
1025,SN18280,Rv4 Gjelleråsen,10.92867,59.9865,POINT (10.92867 59.9865)
1026,SN94630,Sarnes,25.75056,70.98109,POINT (25.75056 70.98109)
1028,SN45590,Rv13 Kvam,5.9457228,59.0658907,POINT (5.9457228 59.0658907)
1029,SN59667,Volda - Bratteberg skole,6.1122,62.1497,POINT (6.1122 62.1497)
1030,SN224300,Junsele,16.95,63.6838888888889,POINT (16.95 63.6838888888889)
1031,SN220900,Sylarna,12.2777777777778,63.0447222222222,POINT (12.2777777777778 63.0447222222222)
1032,SN10600,Aursund,11.4550109,62.674007,POINT (11.4550109 62.674007)
1033,SN51610,E16 Voss nord,6.4355,60.64383,POINT (6.4355 60.64383)
1034,SN80320,Kilboghamn,13.2281,66.4896,POINT (13.2281 66.4896)
1035,SN248210,Avesta,16.1747,60.1419,POINT (16.1747 60.1419)
1036,SN21680,Vest-Torpa,10.0358,60.9345,POINT (10.0358 60.9345)
1037,SN2625800,,28.3333333333333,57.8166666666667,POINT (28.3333333333333 57.8166666666667)
1038,SN62260,Fv64 Årødalen,7.276205,62.76578,POINT (7.276205 62.76578)
1039,SN60860,E39 Solavågen ferjekai,6.32717,62.4135,POINT (6.32717 62.4135)
1040,SN3358700,,30.2327777777778,48.7669444444444,POINT (30.2327777777778 48.7669444444444)
1041,SN30293,Gimsøy ,9.6087,59.1975,POINT (9.6087 59.1975)
1042,SN647600,,5.40388888888889,50.0388888888889,POINT (5.40388888888889 50.0388888888889)
1043,SN1281200,Szombathely,16.6477778,47.1983333,POINT (16.6477778 47.1983333)
1044,SN95590,BØRSELV,25.5703,70.3133,POINT (25.5703 70.3133)
1045,SN41795,E39 Osestad,7.20917,58.111,POINT (7.20917 58.111)
1046,SN32240,Bø,9.0287,59.4175,POINT (9.0287 59.4175)
1047,SN73250,Sørli,13.765,64.2432,POINT (13.765 64.2432)
1048,SN396900,,-6.25,53.4333333333333,POINT (-6.25 53.4333333333333)
1049,SN61820,Eresfjord,8.105,62.663,POINT (8.105 62.663)
1050,SN22990,E16 Kalplassen,9.3343,60.9532,POINT (9.3343 60.9532)
1051,SN275000,,23.2483333333333,59.8438888888889,POINT (23.2483333333333 59.8438888888889)
1052,SN34115,E18 Sprangfoss bru,9.4837,58.9675,POINT (9.4837 58.9675)
1053,SN94280,Hammerfest,23.6772,70.6807,POINT (23.6772 70.6807)
1054,SN19455,Kommunegården,10.5243,59.8892,POINT (10.5243 59.8892)
1055,SN94720,Honningsvåg Skole,25.9696,70.9786,POINT (25.9696 70.9786)
1056,SN231980,Åsarna D,14.3556,62.66,POINT (14.3556 62.66)
1057,SN240880,Töcksfors D,11.8397,59.5468,POINT (11.8397 59.5468)
1058,SN90270,Klokkarelvosen,18.36352,69.70997,POINT (18.36352 69.70997)
1059,SN22730,Hedal i Valdres,9.7238,60.6197,POINT (9.7238 60.6197)
1060,SN30248,Brevik,9.7013,59.0537,POINT (9.7013 59.0537)
1061,SN27162,Åsgårdstrand,10.46,59.3563,POINT (10.46 59.3563)
1062,SN90620,Strandmo,19.44,69.88,POINT (19.44 69.88)
1064,SN15050,Rv15 Lom,8.5845,61.84117,POINT (8.5845 61.84117)
1065,SN5495,Rv2 Sigernessjøen,12.063,60.102,POINT (12.063 60.102)
1066,SN92650,Nuvsvåg,22.0705,70.2368,POINT (22.0705 70.2368)
1067,SN25110,Hemsedal,8.5929429,60.8548588,POINT (8.5929429 60.8548588)
1068,SN4780,Gardermoen,11.0802,60.2065,POINT (11.0802 60.2065)
1069,SN1242400,,16.9,51.1033333333333,POINT (16.9 51.1033333333333)
1070,SN68238,E6 Heimdal,10.3706,63.34835,POINT (10.3706 63.34835)
1071,SN30287,Bølevegen,9.635136,59.177235,POINT (9.635136 59.177235)
1072,SN60890,Brusdalsvatn,6.4013,62.4654,POINT (6.4013 62.4654)
1073,SN93000,Hasvik,22.4428,70.607,POINT (22.4428 70.607)
1074,SN57660,Eimhjellen,5.8157,61.6407,POINT (5.8157 61.6407)
1075,SN52860,Takle,5.3813,61.0272,POINT (5.3813 61.0272)
1076,SN10800,Sølendet,11.8153,62.6793,POINT (11.8153 62.6793)
1077,SN229300,Skellefteå,21.0769444444444,64.6247222222222,POINT (21.0769444444444 64.6247222222222)
1078,SN60935,Ålesund - Ratvika,6.253464,62.463428,POINT (6.253464 62.463428)
1079,SN69090,Gevingberget ,10.9088,63.4405,POINT (10.9088 63.4405)
1080,SN94220,Kårhamnfjellet,23.1689,70.5426,POINT (23.1689 70.5426)
1081,SN3120,Rolvsøy,11.0207,59.2597,POINT (11.0207 59.2597)
1082,SN235500,Kuggören,17.5252777777778,61.7033333333333,POINT (17.5252777777778 61.7033333333333)
1083,SN25541,Bakko,8.00375,60.68108,POINT (8.00375 60.68108)
1084,SN81310,Fv17 Åselibrua,14.6315,67.19783,POINT (14.6315 67.19783)
1085,SN61410,Mannen,7.7703,62.4555,POINT (7.7703 62.4555)
1086,SN252600,Landvetter,12.2919444444444,57.6761111111111,POINT (12.2919444444444 57.6761111111111)
1087,SN19718,Asker brannst ,10.439,59.8303,POINT (10.439 59.8303)
1088,SN41825,Lyngdal,7.0452,58.134,POINT (7.0452 58.134)
1089,SN54780,Øvre Årdal,7.8177126,61.310226,POINT (7.8177126 61.310226)
1090,SN90560,Kvaløysletta ,18.8772,69.6988,POINT (18.8772 69.6988)
1091,SN19790,Bødalen,10.4523,59.7597,POINT (10.4523 59.7597)
1092,SN48500,Rosendal,6.0263667,59.9913349,POINT (6.0263667 59.9913349)
1093,SN219790,Övertorneå,23.622,66.3862,POINT (23.622 66.3862)
1094,SN267000,Kalmar,16.3,56.6833333333333,POINT (16.3 56.6833333333333)
1095,SN67780,Ålen,11.2058,62.8523,POINT (11.2058 62.8523)
1096,SN19458,Nadderud,10.5878,59.9248,POINT (10.5878 59.9248)
1097,SN12110,Stange rådhus ,11.1903,60.7155,POINT (11.1903 60.7155)
1098,SN47172,Karmsund ,5.3173,59.3838,POINT (5.3173 59.3838)
1099,SN49720,Tussafoten,7.156,60.439,POINT (7.156 60.439)
1100,SN4735,Gardermoen - sørøst ,11.1105,60.1705,POINT (11.1105 60.1705)
1101,SN93700,Guovdageaidnu,23.0349,68.9964,POINT (23.0349 68.9964)
1102,SN80870,Fv7438 Sandhornøya,14.2075,67.08367,POINT (14.2075 67.08367)
1103,SN208100,Karesuando,22.4436111111111,68.4419444444444,POINT (22.4436111111111 68.4419444444444)
1104,SN6700,Rv3 Svingen,11.49017,60.95733,POINT (11.49017 60.95733)
1105,SN4807,Ullensaker − Borgen,11.2144,60.0948,POINT (11.2144 60.0948)
1106,SN94050,Øvre Leirbotn ,23.6168,70.1282,POINT (23.6168 70.1282)
1107,SN39160,Holdalsnuten ,8.019,58.1717,POINT (8.019 58.1717)
1108,SN27730,E18 Fokserød,10.20717,59.18667,POINT (10.20717 59.18667)
1109,SN88640,Husøy ,17.6715,69.5457,POINT (17.6715 69.5457)
1110,SN52555,Fv57 Mongstad sør,5.02183,60.79283,POINT (5.02183 60.79283)
1111,SN224500,Vilhelmina,16.8422222222222,64.5811111111111,POINT (16.8422222222222 64.5811111111111)
1112,SN12666,E6 Vingnes,10.442,61.108,POINT (10.442 61.108)
1113,SN48069,Fv542 Bømlabrua,5.3795,59.73717,POINT (5.3795 59.73717)
1115,SN27057,Sande - Kverntangen,10.2638442,59.5650719,POINT (10.2638442 59.5650719)
1116,SN28923,Fv40 Veggli,9.16667,60.03933,POINT (9.16667 60.03933)
1117,SN13420,Venabu,10.1082,61.6513,POINT (10.1082 61.6513)
1118,SN27470,Torp,10.2553,59.1845,POINT (10.2553 59.1845)
1120,SN57050,Askvoll ferjekai,5.0651,61.34486,POINT (5.0651 61.34486)
1121,SN75550,Sklinna fyr,10.9965,65.2023,POINT (10.9965 65.2023)
1122,SN68175,E6 Moholtlia,10.4388,63.4078,POINT (10.4388 63.4078)
1123,SN62200,E39 Fursetfjellet,7.60483,62.8275,POINT (7.60483 62.8275)
1124,SN60800,Ørskog,6.8167,62.4775,POINT (6.8167 62.4775)
1125,SN280700,,27.4138888888889,68.6077777777778,POINT (27.4138888888889 68.6077777777778)
1126,SN82225,Bodø - Stokkvika,14.4922,67.2745,POINT (14.4922 67.2745)
1127,SN4385,E6 Kløfta,11.1515,60.0618,POINT (11.1515 60.0618)
1128,SN63420,Sunndalsøra,8.5473,62.6785,POINT (8.5473 62.6785)
1129,SN90730,Solheim,19.52,69.83,POINT (19.52 69.83)
1130,SN43090,Jøssingfjord,6.3582,58.325,POINT (6.3582 58.325)
1131,SN16560,Dombås,9.1147,62.07165,POINT (9.1147 62.07165)
1132,SN7660,Åkrestrømmen,11.2042,61.696,POINT (11.2042 61.696)
1133,SN302600,,-6.31888888888889,58.2133333333333,POINT (-6.31888888888889 58.2133333333333)
1134,SN19530,Aurevann,10.4601,59.9967,POINT (10.4601 59.9967)
1135,SN3356200,,28.6041666666667,49.2477777777778,POINT (28.6041666666667 49.2477777777778)
